id,name,neighborhood,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,number_of_reviews,review_scores_rating,amenities,availability_365,month
1001,Listing 1001,Midtown,40.693635,-73.764786,Entire home/apt,6,2,1,2,95,5,22,87.0,"Wifi,Breakfast,Kitchen,Washer,Air Conditioning,Pet friendly",337,December
1002,Listing 1002,Brooklyn,40.782998,-73.870402,Shared room,6,3,3,4,145,1,40,91.0,"Elevator,Dryer,Heating,Washer,Breakfast,Kitchen",97,August
1003,Listing 1003,SoHo,40.639005,-74.003202,Entire home/apt,3,2,3,3,267,5,31,98.0,"Kitchen,Free parking,Dryer,Air Conditioning,Elevator,Washer",85,January
1004,Listing 1004,Downtown,40.614521,-73.790147,Shared room,2,2,1,2,264,4,93,74.0,"Elevator,Washer,Beach access,Dryer,Kitchen",361,February
1005,Listing 1005,Queens,40.750279,-73.837578,Shared room,6,1,1,4,161,5,56,90.0,"Breakfast,Wifi,Washer,Pet friendly,Elevator",255,May
1006,Listing 1006,Upper East Side,40.605146,-73.759027,Entire home/apt,2,3,3,3,124,4,36,77.0,"Washer,Pet friendly,Free parking,Beach access",184,November
1007,Listing 1007,Williamsburg,40.808111,-73.986298,Private room,5,2,2,2,84,1,28,73.0,"Breakfast,Beach access,Gym,Air Conditioning",82,September
1008,Listing 1008,SoHo,40.645456,-73.994979,Private room,5,2,3,3,319,1,29,90.0,"Breakfast,Dryer,Beach access,Elevator,Kitchen,Pet friendly,Washer",130,September
1009,Listing 1009,Chelsea,40.676061,-73.892573,Entire home/apt,6,3,2,2,192,3,129,88.0,"Heating,Elevator,Breakfast,Free parking",321,February
1010,Listing 1010,Downtown,40.707986,-73.962631,Shared room,3,2,1,1,420,3,61,70.0,"Air Conditioning,Kitchen,Pet friendly,Pool",85,June
1011,Listing 1011,Financial District,40.752963,-74.008152,Entire home/apt,2,3,2,2,125,4,54,98.0,"Breakfast,Pet friendly,Washer,Dryer,Gym,Elevator,Beach access",314,September
